"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","6/47","339/18986",0.0176991150442478,7.14968932404444,5.69146733425338,0.000179583623647526,0.00860541032329308,0.00627707709502227,"MMP11/COL10A1/COL11A1/CAV1/IBSP/MMP13",6
"GO:0043062","extracellular structure organization","6/47","340/18986",0.0176470588235294,7.12866082603254,5.68051764814608,0.00018247072359758,0.00860541032329308,0.00627707709502227,"MMP11/COL10A1/COL11A1/CAV1/IBSP/MMP13",6
"GO:0045229","external encapsulating structure organization","6/47","341/18986",0.0175953079178886,7.10775566231984,5.66961225288719,0.000185394471503026,0.00860541032329308,0.00627707709502227,"MMP11/COL10A1/COL11A1/CAV1/IBSP/MMP13",6
"GO:0051303","establishment of chromosome localization","4/47","115/18986",0.0347826086956522,14.0506938020352,6.99295560038023,0.000186350726258474,0.00860541032329308,0.00627707709502227,"NEK2/NUF2/SPC25/CDK1",4
"GO:0001824","blastocyst development","4/47","118/18986",0.0338983050847458,13.6934727731699,6.89023815800812,0.000205731787301113,0.00917280003380479,0.00669095032384019,"NEK2/PLPP4/ACVR1C/ASF1B",4
"GO:1902749","regulation of cell cycle G2/M phase transition","4/47","120/18986",0.0333333333333333,13.4652482269504,6.82381661400901,0.00021943425978638,0.00945761659679297,0.00689870514977531,"FHL1/PKMYT1/CDC25C/CDK1",4
"GO:0051261","protein depolymerization","4/47","122/18986",0.0327868852459016,13.2445064527381,6.75896213684995,0.000233782790948702,0.00974618533654119,0.00710919694023764,"TPX2/GSN/CFL2/SPTBN1",4
"GO:0050000","chromosome localization","4/47","123/18986",0.032520325203252,13.1368275384882,6.72710275972245,0.000241204896186634,0.00974618533654119,0.00710919694023764,"NEK2/NUF2/SPC25/CDK1",4
"GO:0043244","regulation of protein-containing complex disassembly","4/47","129/18986",0.0310077519379845,12.5258123041399,6.54343518887789,0.000289348809998641,0.0113372124644922,0.00826974589342209,"TPX2/GSN/CFL2/SPTBN1",4
"GO:0030834","regulation of actin filament depolymerization","3/47","53/18986",0.0566037735849057,22.8655158570855,7.94078893751265,0.000305367194017734,0.0116129347607333,0.00847086705386657,"GSN/CFL2/SPTBN1",3
"GO:0051225","spindle assembly","4/47","134/18986",0.0298507462686567,12.0584312480152,6.39945388025398,0.00033444744970094,0.0123554443560947,0.0090124786445727,"NEK2/KIF4A/TPX2/UHRF1",4
"GO:0051983","regulation of chromosome segregation","4/47","135/18986",0.0296296296296296,11.969109535067,6.37157454405765,0.000344037785418364,0.0123566904596096,0.00901338759458637,"UBE2C/NUF2/SPC25/CDK1",4
"GO:1901993","regulation of meiotic cell cycle phase transition","2/47","12/18986",0.166666666666667,67.3262411347518,11.4491242385789,0.00038966550767132,0.0130581333584463,0.00952504374906816,"PKMYT1/CDC25C",2
"GO:0030042","actin filament depolymerization","3/47","58/18986",0.0517241379310345,20.8943506969919,7.55904812360844,0.000398749889224805,0.0130581333584463,0.00952504374906816,"GSN/CFL2/SPTBN1",3
"GO:0033047","regulation of mitotic sister chromatid segregation","3/47","58/18986",0.0517241379310345,20.8943506969919,7.55904812360844,0.000398749889224805,0.0130581333584463,0.00952504374906816,"NUF2/SPC25/CDK1",3
"GO:0000086","G2/M transition of mitotic cell cycle","4/47","141/18986",0.0283687943262411,11.4597857250641,6.21026283334581,0.000405768521920502,0.0130581333584463,0.00952504374906816,"FHL1/PKMYT1/CDC25C/CDK1",4
"GO:0045930","negative regulation of mitotic cell cycle","5/47","256/18986",0.01953125,7.88979388297872,5.52882738745505,0.000414063006725675,0.0130581333584463,0.00952504374906816,"FHL1/PKMYT1/NUF2/SPC25/CDK1",5
"GO:0033044","regulation of chromosome organization","5/47","258/18986",0.0193798449612403,7.82863269008742,5.5014049402448,0.000429041841292722,0.0132083595426545,0.00963462380446813,"NEK2/UBE2C/NUF2/SPC25/CDK1",5
"GO:0010965","regulation of mitotic sister chromatid separation","3/47","62/18986",0.0483870967741935,19.5463280713795,7.28656797352691,0.000485369964029357,0.0145949619416269,0.0106460584521494,"UBE2C/NUF2/SPC25",3
"GO:0045786","negative regulation of cell cycle","6/47","419/18986",0.0143198090692124,5.7845935103844,4.93352004781576,0.000556646006324124,0.0160237237548809,0.0116882456013133,"NEK2/FHL1/PKMYT1/NUF2/SPC25/CDK1",6
"GO:0051306","mitotic sister chromatid separation","3/47","65/18986",0.0461538461538462,18.6441898527005,7.09842609932199,0.000557670200285877,0.0160237237548809,0.0116882456013133,"UBE2C/NUF2/SPC25",3
"GO:0044771","meiotic cell cycle phase transition","2/47","15/18986",0.133333333333333,53.8609929078014,10.2026160079175,0.000616993210416604,0.017148530906344,0.012508717948536,"PKMYT1/CDC25C",2
"GO:0044839","cell cycle G2/M phase transition","4/47","158/18986",0.0253164556962025,10.2267708052788,5.80165486054657,0.000623341804020238,0.017148530906344,0.012508717948536,"FHL1/PKMYT1/CDC25C/CDK1",4
"GO:1901988","negative regulation of cell cycle phase transition","5/47","287/18986",0.0174216027874564,7.03758618133294,5.13417666182399,0.000695596066107472,0.01873761903077,0.013667852527024,"FHL1/PKMYT1/NUF2/SPC25/CDK1",5
